GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SUPUESTO ALUMNOS CLASE,ies.puerto,Ejercicio5,35,0,0,0,3,0,2,0,2,0
SUPUESTO ALUMNOS CLASE,ies.puerto,Ejercicio4,35,0,0,0,3,0,2,0,2,0
SUPUESTO ALUMNOS CLASE,ies.puerto,Ejercicio3,3,0,0,0,1,0,1,0,1,0
SUPUESTO ALUMNOS CLASE,ies.puerto,Ejercicio1,3,15,0,2,1,4,1,2,1,1
SUPUESTO ALUMNOS CLASE,ies.puerto,Persona,4,35,0,2,2,14,1,7,1,6
